numNeuronios,meanAp,stdAp,melhorResultadoDasRedes
1,0.31381695351455685,0.0,0.31381695351455685
2,0.5389157324243202,0.18380014441670933,0.6906174911726453
3,0.4652565164729231,0.1854752781771104,0.693061947872447
4,0.6231927286957906,0.15490907012340493,0.7129877824107808
5,0.6176599958754622,0.1520888720829844,0.7021574702413412
6,0.6994094165589173,0.016660875717389365,0.7192811861630184
7,0.546746036206837,0.19024375922795997,0.7090473808153047
8,0.621586818983689,0.15468847304797007,0.7175265383532144
9,0.6924207194654346,0.011721118024666018,0.7033401797274531
10,0.6966304130552992,0.020541558916476178,0.7192451070586489
11,0.6978368360525244,0.011675108579967033,0.7149462977111093
12,0.6902385237705075,0.017722946026883617,0.7075703705953184
13,0.6875457165038258,0.012101369154262654,0.7033032449911447
14,0.6870219556909227,0.020519267899861856,0.7096526525958355
15,0.6890367060969884,0.01005937031120338,0.7011903401340994
16,0.6911774380982484,0.0130936674298051,0.7057786744420421
17,0.7020118139879452,0.0193893887455013,0.718107782028451
18,0.6992958092583643,0.010314564717156907,0.710796716860759
19,0.692927621801802,0.018643867405985403,0.7155486061159962
20,0.69956506425677,0.01233431485376395,0.7149270280775734
21,0.7060316604079674,0.003008765919114087,0.7095174649253161
22,0.6993398692207655,0.015732213682428123,0.7131160069446101
23,0.7041654095586489,0.00204344462742315,0.7066301187256017
24,0.7056029732960957,0.014515227874575227,0.7214359091246384
25,0.7040653648206682,0.018223050018893776,0.720650084098176
26,0.7046232937665111,0.010314697692577852,0.7211365167390625
27,0.6973355598770614,0.014968590753024926,0.7113501423800002
28,0.7061328273958417,0.003489510469377486,0.7120446596339027
29,0.7047696185751631,0.011266793519857467,0.7134861545173155
30,0.6948347404912198,0.022754357971931954,0.7258134890042854
31,0.6970319821667987,0.011011212696946153,0.7114531628125623
32,0.6986596401262355,0.015676074755255745,0.7144452878732099
33,0.7013988704579079,0.020009502142580075,0.7182572519877852
34,0.6950868151955003,0.015572019111976934,0.7115297399807137
35,0.6989097006616113,0.021892203572035702,0.7189418443652109
36,0.6935865021950205,0.011635223177168363,0.7048091357796105
37,0.7124786513988766,0.005256891009590399,0.7179339415520539
38,0.7022243642069673,0.01194120236959128,0.7175384957044134
39,0.6954974680025139,0.013129126963931079,0.7066082215284918
40,0.7006103088460396,0.012429472746609854,0.7178266344291542
41,0.6978811724450624,0.0025814820172183083,0.7021042040241062
42,0.6865028443690668,0.01969937240188421,0.7148068227132897
43,0.7030729215890258,0.004758570163312373,0.7077094449066083
44,0.6856953861310284,0.016245485113907502,0.703418455365421
45,0.6873930762781375,0.014859054705719972,0.7066692759068197
46,0.706522074465135,0.00633216630151442,0.7166929749212303
47,0.7036708360024952,0.008097291516127095,0.7140946480350965
48,0.6891158922326363,0.018951491185343155,0.7080740423584008
49,0.7025185593088346,0.011737414461078913,0.7154541137355269
50,0.7035497569871803,0.01216930830560614,0.7191914814278613
51,0.690109623922263,0.004948860050809525,0.695534393098662
52,0.6967133383829329,0.010499044952190884,0.7097653244370897
53,0.7071815401239288,0.004036328230093365,0.7122896022372232
54,0.6896962046243859,0.011859046758269865,0.7041942810171977
55,0.6863191279487394,0.014117976975288613,0.7006538659661512
56,0.6887437796956928,0.0180710577835939,0.7152492483295091
57,0.6966081658644935,0.007540927862955591,0.7057673914357357
58,0.6904481585641182,0.015241353523682999,0.7061425224115343
59,0.695545161548963,0.013804560779325029,0.7124925907771568
60,0.6878980159549946,0.011371926908482278,0.708101877883504
61,0.69323925701158,0.02113630382505206,0.713945717282639
62,0.690302686309518,0.008639292528371402,0.7064334357509985
63,0.7064397514020103,0.007210619988616667,0.7194603663610688
64,0.6822492211741386,0.01754013904028387,0.7165064009273545
65,0.7028061298595895,0.007696430817929785,0.7138044951371596
66,0.6942182420481219,0.02033182817206551,0.7210409667926327
67,0.6909145000697461,0.017151536207766598,0.7069900187528778
68,0.6979446072127709,0.006247293957607002,0.7047694512960913
69,0.6993619578143514,0.013339789216270324,0.7136159000857687
