numNeuronios,meanAp,stdAp
1,0.31381695351455685,0.0
2,0.5389157324243202,0.18380014441670933
3,0.4652565164729231,0.1854752781771104
4,0.6231927286957906,0.15490907012340493
5,0.6176599958754622,0.1520888720829844
6,0.6994094165589173,0.016660875717389365
7,0.546746036206837,0.19024375922795997
8,0.621586818983689,0.15468847304797007
9,0.6924207194654346,0.011721118024666018
10,0.6966304130552992,0.020541558916476178
11,0.6978368360525244,0.011675108579967033
12,0.6902385237705075,0.017722946026883617
13,0.6875457165038258,0.012101369154262654
14,0.6870219556909227,0.020519267899861856
15,0.6890367060969884,0.01005937031120338
16,0.6911774380982484,0.0130936674298051
17,0.7020118139879452,0.0193893887455013
18,0.6992958092583643,0.010314564717156907
19,0.692927621801802,0.018643867405985403
20,0.69956506425677,0.01233431485376395
21,0.7060316604079674,0.003008765919114087
22,0.6993398692207655,0.015732213682428123
23,0.7041654095586489,0.00204344462742315
24,0.7056029732960957,0.014515227874575227
25,0.7040653648206682,0.018223050018893776
26,0.7046232937665111,0.010314697692577852
27,0.6973355598770614,0.014968590753024926
28,0.7061328273958417,0.003489510469377486
29,0.7047696185751631,0.011266793519857467
30,0.6948347404912198,0.022754357971931954
31,0.6970319821667987,0.011011212696946153
32,0.6986596401262355,0.015676074755255745
33,0.7013988704579079,0.020009502142580075
34,0.6950868151955003,0.015572019111976934
35,0.6989097006616113,0.021892203572035702
36,0.6935865021950205,0.011635223177168363
37,0.7124786513988766,0.005256891009590399
38,0.7022243642069673,0.01194120236959128
39,0.6954974680025139,0.013129126963931079
40,0.7006103088460396,0.012429472746609854
41,0.6978811724450624,0.0025814820172183083
42,0.6865028443690668,0.01969937240188421
43,0.7030729215890258,0.004758570163312373
44,0.6856953861310284,0.016245485113907502
45,0.6873930762781375,0.014859054705719972
46,0.706522074465135,0.00633216630151442
47,0.7036708360024952,0.008097291516127095
48,0.6891158922326363,0.018951491185343155
49,0.7025185593088346,0.011737414461078913
50,0.7035497569871803,0.01216930830560614
51,0.690109623922263,0.004948860050809525
52,0.6967133383829329,0.010499044952190884
53,0.7071815401239288,0.004036328230093365
54,0.6896962046243859,0.011859046758269865
55,0.6863191279487394,0.014117976975288613
56,0.6887437796956928,0.0180710577835939
57,0.6966081658644935,0.007540927862955591
58,0.6904481585641182,0.015241353523682999
59,0.695545161548963,0.013804560779325029
60,0.6878980159549946,0.011371926908482278
61,0.69323925701158,0.02113630382505206
62,0.690302686309518,0.008639292528371402
63,0.7064397514020103,0.007210619988616667
64,0.6822492211741386,0.01754013904028387
65,0.7028061298595895,0.007696430817929785
66,0.6942182420481219,0.02033182817206551
67,0.6909145000697461,0.017151536207766598
68,0.6979446072127709,0.006247293957607002
69,0.6993619578143514,0.013339789216270324
