numNeuronios,meanAp,stdAp
20,0.696853988045,0.0155838516549
21,0.691962238084,0.0141042529301
22,0.694131637888,0.0157264501276
23,0.69943442059,0.0125897339843
24,0.693176699968,0.0171021125309
25,0.694996102133,0.00779364097072
26,0.681569460628,0.00739218560581
27,0.690464433898,0.0175456431319
28,0.685465775648,0.0122858091511
29,0.689154121728,0.0171036351043
30,0.699106282188,0.00737749538085
31,0.689744577823,0.00814240066652
32,0.693260309724,0.00285179110205
33,0.685446013629,0.0141738611026
34,0.678585367059,0.0131974745582
35,0.680840474232,0.00707520615376
36,0.689371745069,0.0106469332834
37,0.691779345622,0.0051642308499
38,0.691046437578,0.0124893465209
39,0.676052822885,0.0106856719353
40,0.698314544938,0.0109413257688
41,0.688230947054,0.00526341246778
42,0.692528501654,0.0157030883293
43,0.686089143375,0.00942270005091
44,0.688729881643,0.00711661725968
45,0.686824727376,0.0132505067041
46,0.687611374181,0.0138805801599
47,0.686881895484,0.00914883305623
48,0.684460656351,0.015569970191
49,0.691434817587,0.0097707315573
50,0.688679550989,0.00626360948529
