,Unnamed: 0,AltimetriaNorm,AmplitudeNorm,concavoConvNorm,CurvaturaNegativaNorm,CurvaturaPositivaNorm,DeclividadeNorm,GeomIgualA1,GeomIgualA2,GeomIgualA3,GeomIgualA4,GeomIgualA5,GeomIgualA6,GeomIgualA7,GeomIgualA8,OrientacaoEncosta=1,OrientacaoEncosta=2,OrientacaoEncosta=3,OrientacaoEncosta=4,OrientacaoEncosta=5,OrientacaoEncosta=6,OrientacaoEncosta=7,OrientacaoEncosta=8,OrientacaoEncosta=9,UsoSolo=1,UsoSolo=2,UsoSolo=3,UsoSolo=4,UsoSolo=5,positivoDeRisco
count,15544.0,15544.0,15541.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0,15544.0
mean,7771.5,0.24877928916352937,0.15876954507431953,0.019729927244542627,0.9210415101523457,0.1582005816911132,0.2989168577176709,0.1223623262995368,0.3130468347915594,0.1902341739577972,0.008427689140504374,0.0036670097786927433,0.038149768399382396,0.03248841996911992,0.2907874420998456,0.01949305198147195,0.10454194544518786,0.06304683479155944,0.07745753988677304,0.12435666495110653,0.1488677303139475,0.1428847143592383,0.17633813690169842,0.14301338136901698,0.02515440041173443,0.06941585177560473,0.8995753988677303,0.00038600102933607824,0.0054683479155944415,0.3194158517756047
std,4487.310627387708,0.16523407068470292,0.16549924507592947,0.0652129218594275,0.0524369403002093,0.11584884653903867,0.19328307223721253,0.32771435215441796,0.46374815334759134,0.39249846358594,0.09141772718828506,0.060446653171190294,0.1915638911678015,0.17729902666740094,0.4541402580437627,0.13825448490372944,0.30597213912857146,0.24305499781571718,0.2673246468854413,0.32999862226008525,0.35596949470275324,0.3499665014077931,0.3811198538098065,0.3500977568847336,0.1565989598218147,0.2541681477593167,0.30057497043218406,0.01964374855652441,0.07374818630592087,0.46626532331885395
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,3885.75,0.1371841155234657,0.0625,0.0009530221789814953,0.8962632464929859,0.07105488322985233,0.18181818181818185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50%,7771.5,0.21660649819494585,0.0625,0.003044424822714475,0.9300418436873746,0.13520469067662774,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
75%,11657.25,0.36101083032490977,0.25,0.008246118544722155,0.9519038076152304,0.22243345161849992,0.4545454545454545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
max,15543.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
