numNeuronios,meanAp,stdAp,melhorResultadoDasRedes
1,0.31381695351455685,0.0,0.31381695351455685
2,0.5404850927124744,0.1851600141590154,0.7019061140665924
3,0.5416754073503267,0.18634221238617898,0.7062419469689926
4,0.6117527436599143,0.1495894935387266,0.6988889928322565
5,0.5408163887342148,0.18567560833599356,0.7118083112075898
6,0.6045779185793269,0.1460020856035202,0.6998907790691661
7,0.686727895987491,0.0259235451761113,0.7125047386885168
8,0.6919275280734534,0.008398553985730873,0.7077334619892982
9,0.6920337601913251,0.01015909387460363,0.7116950463869637
10,0.6908795506254961,0.01120717552075594,0.6973820730648682
11,0.6963007320895501,0.021341661325494376,0.7174975284140716
12,0.7055370693962106,0.011795250086845071,0.723364687655117
13,0.696439783651676,0.015159126132834374,0.7134121910429221
14,0.7018513412486052,0.006839511254387632,0.7104630005911139
15,0.6996351024530403,0.008536455116436678,0.7099502239715964
16,0.6935853028948828,0.00822495343353995,0.7039210066357171
17,0.6809567964697251,0.011402254911736532,0.7009792837351277
18,0.7025826898456196,0.003709685939943389,0.7066870675805076
19,0.6953754366936501,0.01908322250597033,0.7152349374041856
20,0.7069590268660025,0.008943976590188252,0.7156619521834625
21,0.6920563697833076,0.015099823083512836,0.7096619997558895
22,0.6874341002831053,0.017206843770231177,0.7069650028619812
23,0.7012124514418181,0.002819431261639129,0.7045114267078294
24,0.6896061850514597,0.010892823669029415,0.7047167881149236
25,0.6947064676695536,0.011833679458037736,0.7067780500606118
26,0.7062732001149962,0.006110843711334029,0.715185989105762
27,0.6978331226997538,0.009427235127117326,0.7133648957202222
28,0.6969169144519806,0.00806382025362253,0.7084719487735222
29,0.7072165694315072,0.011039545259077315,0.7186935664359444
30,0.6873595799409961,0.018231538727870197,0.7117574468164147
31,0.6965670118947137,0.005233981858997799,0.7020878307921339
32,0.6920375457083153,0.011662412860251232,0.7054112405571702
33,0.6970020225698328,0.013011180540904032,0.7124330175437247
34,0.688681157924632,0.0165068746142091,0.7085194871967425
35,0.6829516986811303,0.016463658940516455,0.704250052764347
36,0.70013148857304,0.011994918463270606,0.7189070554133068
37,0.69728556414396,0.010389864881556384,0.7097569667841465
38,0.6937308132548458,0.014000280295549398,0.708374835624556
39,0.6979859132844576,0.01624397582614174,0.7107557366444659
40,0.6922402432564403,0.015379993393635931,0.7112893546488261
41,0.6717870749291506,0.026592815576052697,0.6966454190839008
42,0.7004217514115364,0.008851493369612839,0.7088806105896683
43,0.6969524289803483,0.015535337645974829,0.7138765995877241
44,0.6877748571677311,0.012164346610825763,0.7009738208766947
45,0.6824768290454188,0.017181500149724957,0.7039532022661583
46,0.6884212990038919,0.013228897913092457,0.7045746182836798
47,0.6924897080952098,0.009416593368027913,0.7028254887361093
48,0.6830056681295595,0.0136698703240227,0.7043325240632179
49,0.6944205223446497,0.006826969854862652,0.7044016631968306
